draw,key,stat,estimate,boot_var,lo,hi,balanced_accuracy,area,full_estimate,unsafe_full,decision,ba_unsafe
0,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:1,-0.5661,21.5324,-7.2331,8.2903,0.718,economic,2.9395,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|a,delta_pp:2,-0.5862,23.627,-8.432,6.4191,0.718,economic,-0.6952,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:1,-3.316,24.6296,-11.8769,3.5485,0.7606,economic,2.3605,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|a,delta_pp:2,2.734,32.6699,-6.0834,11.9588,0.7606,economic,1.8843,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:1,3.9387,28.3514,-5.3357,12.2271,0.7587,economic,3.6188,True,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|a,delta_pp:2,5.3231,24.6969,-4.2293,11.2723,0.7587,economic,3.0648,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:1,-1.2632,21.3948,-7.768,6.1798,0.7278,economic,4.9661,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|a,delta_pp:2,2.2088,28.6918,-6.1589,10.9048,0.7278,economic,1.7355,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:1,-0.0702,23.0505,-9.0061,7.0951,0.7797,economic,2.0905,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|b,delta_pp:2,10.2811,30.4986,-0.1944,17.4354,0.7797,economic,1.5207,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:1,1.3377,20.4948,-6.261,8.5101,0.7425,economic,4.5829,True,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|b,delta_pp:2,-0.8347,26.3617,-7.721,8.6983,0.7425,economic,0.4632,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:1,-1.2708,24.3901,-9.4955,6.6168,0.7346,economic,4.3086,True,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|b,delta_pp:2,1.023,27.3574,-6.8115,7.7977,0.7346,economic,2.6269,False,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:1,0.8458,12.6248,-5.6577,5.5131,0.6843,economic,5.5371,True,abstain,True
0,economic|mistralai/Mistral-7B-Instruct-v0.3|b,delta_pp:2,4.2185,14.9642,-2.1819,12.1878,0.6843,economic,1.9056,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:1,-4.5151,25.218,-12.4382,3.4123,0.7148,economic,1.7575,False,abstain,True
0,economic|Qwen/Qwen2.5-7B-Instruct|c,delta_pp:2,-3.2659,31.7459,-13.7348,5.6573,0.7148,economic,-0.493,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:1,-0.5599,26.6613,-9.0947,7.4959,0.7156,economic,2.1823,False,abstain,True
0,economic|ibm-granite/granite-3.3-8b-instruct|c,delta_pp:2,1.3732,26.5462,-6.8162,9.9804,0.7156,economic,0.6399,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:1,-5.8434,19.1756,-13.4699,0.3725,0.7283,economic,2.9806,False,abstain,True
0,economic|microsoft/Phi-3.5-mini-instruct|c,delta_pp:2,-3.0124,24.0016,-10.5054,4.1652,0.7283,economic,1.939,False,abstain,True
